brand,model_name
KIA,"['RIO' 'PROCEED' 'SPORTAGE' 'SORENTO' 'FORTE' 'MAGENTIS' 'CERATO' 'QUORIS'
 'OPIRUS' 'SHUMA' 'PICANTO' 'SOUL' 'PREGIO' 'CLARUS' 'SEPHIA' 'SPECTRA'
 'PRIDE' 'CEED' 'CARENS' 'CARNIVAL' 'MOHAVES' 'VENGA' 'AVELLA' 'K900' 'K3'
 'CEED_GT' 'SELTOS' 'OPTIMA' 'STINGER' 'JOICE' 'K5']"
LAMBORGHINI,['GALLARDO' 'HURACAN']
LANCIA,['LYBRA' 'KAPPA' 'DELTA' 'YPSILON']
LAND_ROVER,"['FREELANDER' 'RANGE_ROVER' 'RANGE_ROVER_SPORT' 'DISCOVERY_SPORT'
 'DEFENDER' 'DISCOVERY' 'SERIES_III' 'EVOQUE' 'RANGE_ROVER_VELAR']"
LEXUS,['NX' 'GS' 'IS' 'LS' 'RX' 'SC' 'ES' 'LX' 'GX' 'CT' 'LC' 'LM']
LIFAN,['X60' 'BREEZ' 'MYWAY' 'CELLIYA' 'SOLANO' 'SMILY' 'CEBRIUM' 'X50' 'X70']
LINCOLN,['NAVIGATOR' 'MKC' 'TOWN_CAR' 'AVIATOR' 'LS' 'MKZ' 'MKT' 'MARK_VII']
LUAZ,['967' '969' '1302']
LUXGEN,['7_SUV' 'U7_TURBO']
MASERATI,['LEVANTE' 'GRAN_TURISMO' 'QUATTROPORTE' 'GHIBLI']
MAYBACH,['57' '62']
MAZDA,"['3' '121' '323' 'LANTIS' '5' 'TRIBUTE' '626' 'RX_7' 'FAMILIA' 'B_SERIES'
 'AXELA' '6_MPS' '3MPS' 'CX_5' '2' 'CX_9' 'VERISA' 'XEDOS_9' '6'
 'BONGO_FRIENDEE' 'BT_50' 'MPV' 'DEMIO' 'ATENZA' 'BIANTE' 'CAPELLA'
 'BONGO' 'CAROL' 'MILLENIA' 'PROCEED_MARVIE' 'PROTEGE' 'MX_5' 'PREMACY'
 'XEDOS_6' 'RX_8' 'EFINI_MS_8' 'CX_7']"
MCLAREN,['720S']
MERCEDES,"['SIMPLEX' 'S_KLASSE' 'C_KLASSE_AMG' 'G_KLASSE' 'AMG_GT' 'X_KLASSE'
 'GLK_KLASSE' 'CLS_KLASSE' 'E_KLASSE' 'GLC_KLASSE' 'A_KLASSE'
 'M_KLASSE_AMG' 'VIANO' 'CLC_KLASSE' 'W124' 'CLA_KLASSE' 'R_KLASSE'
 'SL_KLASSE' 'B_KLASSE' 'E_KLASSE_AMG' 'GLA_CLASS' 'SLR_KLASSE'
 'S_CLASS_MAYBACH' 'VITO' 'GLE_KLASSE_COUPE' 'CLK_KLASSE' 'CLA_KLASSE_AMG'
 'C_KLASSE' 'V_KLASSE' 'S_KLASSE_AMG' 'GLS_KLASSE' 'GLE_KLASSE'
 'GL_KLASSE_AMG' 'W114' 'W188' 'SLC_KLASSE' 'GLS_KLASSE_AMG'
 'CLS_KLASSE_AMG' 'GLE_KLASSE_AMG' 'GLE_KLASSE_COUPE_AMG' 'M_KLASSE'
 'A_KLASSE_AMG' 'W123' 'G_KLASSE_AMG' 'GLC_COUPE' 'GLA_CLASS_AMG'
 'SLK_KLASSE' 'CL_KLASSE' 'W111' 'CL_KLASSE_AMG' 'AMG_GLC_COUPE' 'W128'
 '190_SL' 'W186' 'SL_KLASSE_AMG' 'GL_KLASSE' 'CITAN' 'SLK_KLASSE_AMG'
 'GLC_KLASSE_AMG' 'GLB_KLASSE' 'W136' 'W201' 'SLS_AMG' 'VANEO']"
MERCURY,"['SABLE' 'VILLAGER' 'COUGAR' 'GRAND_MARQUIS' 'MARQUIES' 'MARINER'
 'MYSTIQUE']"
METROCAB,['METROCAB_1']
MG,['F' 'MGA' 'ZT']
MINI,['HATCH' 'CLUBMAN' 'COUNTRYMAN' 'CABRIO' 'PACEMAN' 'COUPE']
MITSUBISHI,"['GALANT' 'CHARIOT' 'PAJERO' 'MINICAB' 'L200' 'ASX' 'PAJERO_PININ'
 'DELICA_D_5' 'EK_WAGON' 'COLT' 'MONTERO_SPORT' 'OUTLANDER' 'SPACE_STAR'
 'LANCER' 'LANCER_EVOLUTION' 'DELICA_D2' 'PAJERO_IO' 'CARISMA' 'DIAMANTE'
 'ECLIPSE' 'LIBERO' 'PAJERO_MINI' 'PAJERO_SPORT' 'DION' 'ASPIRE' 'GRANDIS'
 'DELICA' 'RVR' 'SPACE_RUNNER' 'FTO' 'MIRAGE' 'L400' 'MONTERO' 'AIRTREK'
 'SPACE_WAGON' 'LEGNUM' 'ECLIPSE_CROSS' 'PAJERO_JUNIOR' 'ENDEAVOR'
 'I_MIEV' 'L300' 'DINGO' 'LANCER_RALLIART' 'SPACE_GEAR' 'MINICA']"
MITSUOKA,['LE_SEYDE']
MOSCVICH,"['2137' '430' '403' '401' '400' '412' '2140' 'SVYATOGOR' '426' '2136'
 '2141' '408' 'YURI_DOLGORUKIY']"
NISSAN,"['WINGROAD' 'SUNNY' 'CEDRIC' 'PULSAR' 'X_TRAIL' 'ELGRAND' 'ALMERA'
 'VANETTE' 'TERRANO' 'PATHFINDER' 'SKYLINE' 'KIX' 'DATSUN'
 'QASHQAI_PLUS_2' 'MARCH' '350Z' 'PATROL' 'SENTRA' 'TIIDA' 'TEANA'
 'PRESIDENT' 'FAIRLADY_Z' 'CEFIRO' 'LIBERTY' 'LAUREL' 'AD' 'MURANO'
 'GLORIA' '300ZX' 'NOTE' 'CIMA' 'EXPERT' 'MAXIMA' 'DAYZ' 'CUBE' 'PRIMERA'
 'GT_R' 'MICRA' 'QASHQAI' '100NX' 'SAFARI' 'ALMERA_CLASSIC' 'LEAF' '280ZX'
 'SILVIA' 'AVENIR' 'SERENA' 'PRESAGE' 'NAVARA' 'URVAN' 'BASSARA' 'ALTIMA'
 'PRESEA' 'LAFESTA' 'ALMERA_TINO' 'LARGO' 'BLUEBIRD_SYLPHY' 'JUKE'
 'BLUEBIRD' 'OTTI' 'XTERRA' '200SX' 'TERRANO_REGULUS' 'CLIPPER' 'NP300'
 'NV200' 'ARMADA']"
OLDSMOBILE,['SILHOUETTE' 'CUTLASS' 'EIGHTY_EIGHT' 'CUTLASS_SUPREME']
OPEL,"['VECTRA' 'ASTRA' 'CORSA_OPC' 'FRONTERA' 'SINTRA' 'VITA' 'TIGRA' 'REKORD'
 'CORSA' 'KADETT' 'OMEGA' 'VIVARO' 'INSIGNIA_OPC' 'INSIGNIA' 'MERIVA'
 'COMBO' 'SUPER_SIX' 'ZAFIRA' 'SIGNUM' 'MOKKA' 'VECTRA_OPC' 'CALIBRA'
 'ASTRA_OPC' 'GT' 'KAPITAN' 'ADMIRAL' 'ANTARA' 'ZAFIRA_LIFE' 'MONZA'
 'COMMODORE' 'MONTEREY']"
PACKARD,['CLIPPER']
PEUGEOT,"['206' '107' '307' 'PARTNER' '508' '308' '207' '306' '408' '4007' '407'
 '405' 'TRAVELLER' '806' 'EXPERT' '807' '1007' '406' '607' 'RCZ' '3008'
 '301' '2008' '4008' '203' '208']"
PLYMOUTH,['VOYAGER' 'PROWLER' 'NEON' 'ACCLAIM']
PONTIAC,"['SUNFIRE' 'VIBE' 'TRANS_SPORT' 'BONNEVILLE' 'SOLSTICE' 'FIREBIRD'
 'PARISIENNE' 'GRAND_AM' 'GRAND_PRIX' 'MONTANA']"
PORSCHE,"['911' '356' 'BOXSTER' 'CAYENNE' 'CAYMAN_GT4' 'PANAMERA' 'CAYMAN' 'MACAN'
 '928' 'TAYCAN' '911_GT2' '924' 'CAYENNE_COUPE' '911_GT3' '944']"
PROMO_AUTO,['SHOW_CAR' 'DALLARA_F399_300']
PROTON,['PERSONA']
PUCH,['G_MODELL']
RAM,['1500']
RAVON,['NEXIA_R3' 'GENTRA' 'R2' 'R4']
RENAULT,"['SANDERO' 'MEGANE' '25' '21' 'AVANTIME' 'CLIO' 'CLIO_SYMBOL' 'LAGUNA'
 'DOKKER' 'TRAFIC' 'ESPACE' 'LOGAN' 'KOLEOS' '19' 'KANGOO' 'KAPTUR'
 'SCENIC' 'TALISMAN' 'MEGANE_RS' 'FLUENCE' 'MODUS' 'VEL_SATIS' 'LATITUDE'
 'TWIZY' 'DUSTER' 'TWINGO' 'SAFRANE' 'CLIO_RS' '20' 'ARKANA']"
ROLLS_ROYCE,"['WRAITH' 'GHOST' 'PHANTOM' 'SILVER_CLOUD' 'SILVER_SERAPH' 'CORNICHE'
 'CULLINAN' 'DAWN']"
ROVER,['75' '400' 'MINI' 'STREETWISE' '200' '600' '45']
SAAB,['9_3' '9_5' '9000' '96' '900']
SATURN,['VUE' 'SL' 'OUTLOOK']
SCION,['XB' 'XA' 'TC']
